product_name,price,image_url,product_link,source_page
ASOS DESIGN Essentials 2 pack oversized t-shirts in white and khaki,SGD$62.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-t-shirts-in-white-and-khaki/prd/209084481#colourWayId-209084488,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack relaxed t-shirts in white and brown,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-relaxed-t-shirts-in-white-and-brown/prd/209084528#colourWayId-209084529,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 3 pack collegiate socks in cream,SGD$18.99,,https://www.asos.com/jack-jones/jack-jones-3-pack-collegiate-socks-in-cream/prd/209015398#colourWayId-209015404,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
4505 quick dry running socks with arch support 3 pack in white,SGD$32.99,,https://www.asos.com/4505/4505-quick-dry-running-socks-with-arch-support-3-pack-in-white/prd/208508222#colourWayId-208508225,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
River Island 5 pack trunks in mixed grey,SGD$59.99,,https://www.asos.com/river-island/river-island-5-pack-trunks-in-mixed-grey/prd/209467782#colourWayId-209467785,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Abercrombie & Fitch 5 pack classic polished short sleeve t-shirt in blue/purple/neutral,SGD$132.99,,https://www.asos.com/abercrombie-fitch/abercrombie-fitch-5-pack-classic-polished-short-sleeve-t-shirt-in-blue-purple-neutral/prd/209372711#colourWayId-209372717,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"Boss One 3-pack trunks in green, grey and navy",SGD$96.99,,https://www.asos.com/boss-bodywear/boss-one-3-pack-trunks-in-green-grey-and-navy/prd/208458519#colourWayId-208458523,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
4505 quick dry running socks with arch support 3 pack in black,SGD$32.99,,https://www.asos.com/4505/4505-quick-dry-running-socks-with-arch-support-3-pack-in-black/prd/208508223#colourWayId-208508224,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"Polo Ralph Lauren 3 pack trunks in black, purple and green",SGD$96.99,,https://www.asos.com/polo-ralph-lauren/polo-ralph-lauren-3-pack-trunks-in-black-purple-and-green/prd/208837919#colourWayId-208837922,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Boss Bodywear 3-pack logo t-shirts in blue,SGD$96.99,,https://www.asos.com/boss-bodywear/boss-bodywear-3-pack-logo-t-shirts-in-blue/prd/208458456#colourWayId-208458460,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Calvin Klein Heritage Cotton 3 pack boxer briefs in black with oyster waistbands,SGD$100.99,,https://www.asos.com/calvin-klein/calvin-klein-heritage-cotton-3-pack-boxer-briefs-in-black-with-oyster-waistbands/prd/208892869#colourWayId-208892882,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack relaxed crew neck t-shirts in black,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-relaxed-crew-neck-t-shirts-in-black/prd/209198684#colourWayId-209198688,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN essentials 2 pack quarter zip sweatshirt in black and grey,SGD$100.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-quarter-zip-sweatshirt-in-black-and-grey/prd/209309935#colourWayId-209309940,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
